Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2011,Landsat 7,939083 м2,5046 м2,"0,0131840913","0,9868159087","0,005373326958","0,994626673"
2012,Landsat 7,820496 м2,123632 м2,"0,3230233008","0,6769766992","0,1316518348","0,8683481652"
2013,Landsat 8,693082 м2,251047 м2,"0,6559307509","0,3440692491","0,2673320676","0,7326679324"
2014,Landsat 8,693082 м2,251047 м2,"0,6559307509","0,3440692491","0,2673320676","0,7326679324"
2015,Landsat 8,615614 м2,328514 м2,"0,8583350316","0,1416649684","0,3498242434","0,6501757566"
2016,Landsat 8,567532 м2,376596 м2,"0,9839627522","0,0160372478","0,4010252555","0,5989747445"
2018,Landsat 8,561394 м2,382734м2,1,0,"0,407561419","0,592438581"
2019,Sentinel-2,632815 м2,311313 м2,"0,8133925912","0,1866074088","0,3315074386","0,6684925614"
2020,Sentinel-2,667335 м2,276794 м2,"0,723202015","0,276797985","0,2947492394","0,7052507606"
2021,Sentinel-2,710782 м2,233347 м2,"0,6096845329","0,3903154671","0,2484838933","0,7515161067"
2022,Sentinel-2,716088 м2,228040 м2,"0,5958185058","0,4041814942","0,2428326357","0,7571673643"
